entry_date,exit_date,type,entry_price,exit_price,pnl,return_pct,exit_reason,bars_held
2026-01-23 10:15:00,2026-01-23 10:30:00,LONG,25510.6,25489.01677503871,-1000.0000000000001,-1.0000000000000002,STOP,1
2026-01-23 10:30:00,2026-01-23 10:45:00,LONG,25496.6,25474.379862535945,-990.0,-1.0,STOP,1
2026-01-23 10:45:00,2026-01-23 11:00:00,LONG,25482.6,25506.625841930905,980.0999999999999,0.9999999999999999,TARGET,1
2026-01-23 11:00:00,2026-01-23 11:30:00,LONG,25481.6,25456.683146778443,-989.901,-0.9999999999999999,STOP,2
2026-01-23 11:30:00,2026-01-23 13:00:00,LONG,25434.85,25462.388000992054,980.0019900000001,1.0,TARGET,6
2026-01-23 13:00:00,2026-01-23 13:30:00,SHORT,25507.1,25535.97537861303,-989.8020099000001,-1.0,STOP,2
2026-01-23 23:15:00,2026-01-26 01:00:00,LONG,25567.1,25525.802801863665,-979.9039898010002,-1.0,STOP,3
2026-01-26 11:30:00,2026-01-26 11:45:00,LONG,25506.05,25475.568380593573,-970.1049499029903,-1.0,STOP,1
2026-01-26 11:45:00,2026-01-26 12:15:00,LONG,25507.55,25538.83650373454,960.4039004039603,1.0,TARGET,2
2026-01-26 12:15:00,2026-01-26 14:00:00,LONG,25540.55,25571.344230260904,970.007939408,1.0,TARGET,7
2026-01-26 14:00:00,2026-01-26 14:30:00,LONG,25596.8,25568.96450084822,-979.7080188020798,-0.9999999999999999,STOP,2
2026-01-26 14:30:00,2026-01-26 15:15:00,LONG,25568.8,25595.793364064546,969.9109386140591,1.0,TARGET,3
2026-01-26 15:15:00,2026-01-26 15:30:00,LONG,25578.55,25552.65635173112,-979.6100480001998,-1.0,STOP,1
2026-01-26 15:30:00,2026-01-26 15:45:00,LONG,25563.55,25590.094101963958,969.8139475201978,1.0,TARGET,1
2026-01-27 01:15:00,2026-01-27 03:00:00,LONG,25770.1,25796.662508438047,979.5120869953996,0.9999999999999999,TARGET,7
2026-01-27 14:15:00,2026-01-27 14:30:00,LONG,25889.1,25907.586594481745,989.3072078653537,1.0,TARGET,1
2026-01-27 15:45:00,2026-01-27 16:30:00,LONG,25883.35,25864.954075752627,-999.2002799440072,-1.0,STOP,3
2026-01-28 08:30:00,2026-01-28 09:00:00,LONG,26208.5,26188.602604295917,-989.2082771445672,-1.0,STOP,2
2026-01-28 09:15:00,2026-01-28 10:00:00,LONG,26196.0,26217.16103438844,979.3161943731214,1.0,TARGET,3
2026-01-28 10:00:00,2026-01-28 10:15:00,LONG,26195.0,26172.942313210133,-989.1093563168527,-1.0,STOP,1
2026-01-28 20:15:00,2026-01-28 21:00:00,LONG,26052.0,26015.405734314205,-979.2182627536841,-1.0,STOP,3
2026-01-28 21:00:00,2026-01-28 21:45:00,LONG,26034.75,26072.980631090268,969.4260801261473,1.0,TARGET,3
2026-01-28 21:45:00,2026-01-28 22:00:00,LONG,26052.25,26094.964084003397,979.1203409274087,1.0,TARGET,1
2026-01-28 22:15:00,2026-01-28 23:00:00,LONG,26066.5,26023.090917364418,-988.9115443366828,-1.0000000000000002,STOP,3
2026-01-29 01:15:00,2026-01-29 02:00:00,LONG,26102.1,26040.74335713459,-979.0224288933158,-1.0,STOP,3
2026-01-29 02:00:00,2026-01-29 05:45:00,LONG,26039.35,26091.85,838.6643732840845,0.8652873576630764,TIME,15
2026-01-29 05:45:00,2026-01-29 07:45:00,LONG,26091.85,26130.28658827501,977.6188483372237,1.0,TARGET,7
2026-01-30 13:30:00,2026-01-30 13:45:00,SHORT,25723.55,25770.22491122325,-987.3950368205959,-1.0,STOP,1
2026-01-30 13:45:00,2026-01-30 15:30:00,SHORT,25763.8,25713.619725292698,977.5210864523899,1.0,TARGET,7
2026-01-30 18:00:00,2026-01-30 18:15:00,SHORT,25728.05,25654.175405278704,987.2962973169138,1.0,TARGET,1
2026-01-30 18:30:00,2026-01-30 18:45:00,SHORT,25731.55,25657.265783122963,997.1692602900829,1.0,TARGET,1
2026-01-30 18:45:00,2026-01-30 19:45:00,SHORT,25654.4,25578.778941471326,1007.1409528929838,1.0,TARGET,4
2026-01-30 19:45:00,2026-01-30 20:15:00,SHORT,25575.9,25496.228481553586,1017.2123624219136,1.0,TARGET,2
2026-01-30 20:15:00,2026-01-30 20:45:00,SHORT,25567.05,25647.137941925736,-1027.3844860461327,-1.0,STOP,2
2026-01-30 20:45:00,2026-01-30 21:45:00,SHORT,25637.3,25552.105550074237,1017.1106411856713,1.0,TARGET,4
2026-01-30 21:45:00,2026-01-30 22:15:00,SHORT,25553.55,25474.87337608471,1027.281747597528,1.0,TARGET,2
2026-01-30 22:15:00,2026-01-30 22:45:00,SHORT,25492.05,25567.644895110632,-1037.5545650735035,-1.0000000000000002,STOP,2
2026-01-30 22:45:00,2026-02-02 01:00:00,SHORT,25568.8,25492.1199628893,1027.1790194227683,1.0,TARGET,5
2026-02-02 01:00:00,2026-02-02 01:30:00,SHORT,25344.8,25422.93862596117,-1037.450809616996,-1.0,STOP,2
2026-02-02 10:00:00,2026-02-02 11:15:00,SHORT,25275.8,25336.95395498226,-1027.076301520826,-1.0000000000000002,STOP,5
2026-02-02 11:15:00,2026-02-02 14:15:00,SHORT,25342.05,25399.67990849651,-1016.8055385056176,-0.9999999999999999,STOP,12
2026-02-02 14:45:00,2026-02-02 15:45:00,LONG,25390.3,25434.273438646534,1006.6374831205616,1.0,TARGET,4
2026-02-02 17:00:00,2026-02-02 18:00:00,SHORT,25778.3,25717.544479119413,1016.7038579517673,1.0000000000000002,TARGET,4
2026-02-04 11:00:00,2026-02-04 11:15:00,LONG,25322.45,25286.87848901108,-1026.8708965312849,-1.0,STOP,1
2026-02-04 11:15:00,2026-02-04 12:00:00,SHORT,25292.7,25329.819974489714,-1016.6021875659721,-1.0000000000000002,STOP,3
2026-02-04 12:00:00,2026-02-04 12:30:00,SHORT,25332.45,25370.53776747591,-1006.4361656903122,-1.0,STOP,2
2026-02-04 12:30:00,2026-02-04 13:45:00,SHORT,25353.7,25390.604758690966,-996.3718040334091,-1.0,STOP,5
2026-02-04 13:45:00,2026-02-04 14:00:00,SHORT,25382.95,25349.318752010615,986.4080859930751,1.0,TARGET,1
2026-02-04 14:00:00,2026-02-04 14:15:00,SHORT,25369.95,25334.988841152714,996.2721668530058,1.0,TARGET,1
2026-02-04 14:15:00,2026-02-04 15:00:00,SHORT,25340.7,25305.07535249895,1006.2348885215358,1.0,TARGET,3
2026-02-04 15:00:00,2026-02-04 15:45:00,SHORT,25300.7,25264.1739976094,1016.2972374067512,1.0,TARGET,3
2026-02-04 15:45:00,2026-02-04 16:30:00,SHORT,25264.45,25226.50407170111,1026.4602097808186,1.0,TARGET,3
2026-02-04 23:45:00,2026-02-05 04:15:00,SHORT,25022.45,24924.932019240947,1036.7248118786267,1.0,TARGET,14
2026-02-05 04:15:00,2026-02-05 04:45:00,SHORT,24971.15,24898.458840704865,1047.0920599974131,1.0,TARGET,2
2026-02-05 04:45:00,2026-02-05 07:30:00,SHORT,24879.65,24953.2740098004,-1057.5629805973872,-1.0,STOP,11
2026-02-05 07:30:00,2026-02-05 10:00:00,SHORT,24943.65,25005.55839200304,-1046.9873507914133,-1.0,STOP,10
2026-02-06 09:45:00,2026-02-06 10:00:00,SHORT,24477.75,24427.03289681833,1036.5174772834991,1.0,TARGET,1
2026-02-06 10:00:00,2026-02-06 11:00:00,SHORT,24493.75,24547.969452954407,-1046.882652056334,-0.9999999999999999,STOP,4
2026-02-09 10:45:00,2026-02-09 11:30:00,LONG,25090.75,25054.645941807816,-1036.413825535771,-1.0,STOP,3
2026-02-09 11:30:00,2026-02-09 11:45:00,LONG,25059.5,25023.710690288546,-1026.0496872804133,-1.0,STOP,1
2026-02-10 06:30:00,2026-02-10 07:30:00,LONG,25252.7,25279.218668434198,1015.789190407609,0.9999999999999999,TARGET,4
2026-02-10 07:30:00,2026-02-10 08:15:00,LONG,25265.95,25239.031107112947,-1025.9470823116853,-1.0,STOP,3
2026-02-10 08:15:00,2026-02-10 08:45:00,LONG,25247.45,25220.989246474906,-1015.6876114885683,-1.0,STOP,2
2026-02-10 08:45:00,2026-02-10 09:30:00,LONG,25242.2,25268.643200743576,1005.5307353736827,1.0,TARGET,3
2026-02-10 09:30:00,2026-02-10 10:00:00,LONG,25264.95,25290.71046356911,1015.5860427274196,1.0,TARGET,2
2026-02-10 10:15:00,2026-02-10 11:00:00,LONG,25268.95,25296.07399360836,1025.7419031546938,1.0,TARGET,3
2026-02-10 14:45:00,2026-02-10 15:00:00,LONG,25265.7,25237.82339803338,-1035.9993221862405,-0.9999999999999999,STOP,1
2026-02-10 22:00:00,2026-02-10 22:45:00,LONG,25179.45,25135.508800650237,-1025.6393289643781,-0.9999999999999999,STOP,3
2026-02-10 22:45:00,2026-02-11 01:00:00,LONG,25142.7,25187.090785339442,1015.3829356747345,1.0,TARGET,5
2026-02-11 01:00:00,2026-02-11 03:30:00,SHORT,25208.5,25244.95446244689,-1025.5367650314818,-1.0,STOP,10
2026-02-11 15:30:00,2026-02-11 15:45:00,SHORT,25274.5,25310.076677523863,-1015.2813973811669,-1.0,STOP,1
2026-02-11 16:30:00,2026-02-11 16:45:00,LONG,25322.75,25276.450567035634,-1005.1285834073553,-1.0000000000000002,STOP,1
2026-02-11 16:45:00,2026-02-11 17:00:00,LONG,25236.0,25182.569812247377,-995.0772975732818,-1.0000000000000002,STOP,1
2026-02-11 17:00:00,2026-02-11 17:15:00,LONG,25105.37,25041.452682801133,-985.1265245975488,-1.0,STOP,1
2026-02-11 17:45:00,2026-02-11 19:00:00,SHORT,25177.87,25100.58330689289,975.2752593515733,0.9999999999999999,TARGET,5
2026-02-11 19:00:00,2026-02-11 19:15:00,SHORT,25144.62,25223.248678124848,-985.0280119450892,-1.0000000000000002,STOP,1
